GENERIC_NAME,M.W.,ALOGPS_LOGP,#DONOR,#ACCEPTOR,#RINGS,#ROTATABLE_BOND,,POLAR_SURFACE_AREA,REFRACTIVITY,LOGS,POLARIZABILITY,PKA
Dalbavancin,1816.69,3.58,21,27,13,22,,572.51,450.788,-4.05,181.827,7.72041
Gramicidin D,1811.25,4.38,20,16,8,50,,519.89,492.333,-5.67,194.731,11.9458
Oritavancin,1793.1,1.92,20,27,13,19,,560.98,441.591,-4.48,176.06,8.68728
Telavancin,1755.65,2.32,23,29,10,30,,598.09,429.412,-5.08,175.854,3.15512
Ivermectin,1736.16,,3,13,14,15,,170.06,230.328,,96.8709,13.1691
Fondaparinux sodium,1730.1,,11,44,5,27,,828.12,246.873,,119.199,-2.57023
Podophyllin,1693.67,1.35,3,9,18,20,,123.91,107.397,-3.01,43.4632,14.027
Plecanatide,1681.89,0.64,25,44,2,28,,772.46,427.55,-4.01,164.577,2.81554
Afamelanotide,1646.85,-1.41,23,24,6,50,,642.98,434.351,-4.86,171.622,9.42188
Somatostatin,1637.9,-1.84,22,22,6,26,,613.23,420.26,-4.9,165.907,11.4107
Colistimethate,1634.87,-1.23,18,33,1,44,,706.71,370.186,-2.62,161.896,-3.84698
Degarelix,1632.29,2.66,17,18,8,41,,512.87,431.128,-5.6,168.976,11.5997
Daptomycin,1620.69,-0.47,22,27,4,35,,702.02,393.565,-4.97,161.48,3.40977
Ganirelix,1570.35,3.42,16,20,6,44,,451.49,423.462,-5.47,170.373,
Iodixanol,1550.18,-2.91,13,15,2,22,,339.09,277.162,-3.92,111.45,11.9445
Linaclotide,1526.74,-1.46,19,22,6,13,,573.91,368.001,-3.34,145.882,3.71293
Dotatate gallium Ga-68,1502.33,-0.99,14,24,6,26,,505.95,397.344,-4.37,143.524,2.73538
Spinosad,1477.96,4.25,0,10,12,18,,111.22,201.863,-5.49,86.4362,
Liotrix,1471.81,,2,4,4,10,,95.61,137.625,,49.0401,7.42676
Vancomycin,1449.25,1.11,19,24,10,13,,530.49,346.608,-3.81,138.704,8.7783
Sucralfate,1448.68,0.98,16,35,2,36,,772.17,175.094,-3.31,105.216,13.9596
Histrelin,1443.63,2.21,16,26,8,34,,478.27,365.334,-3.91,139.231,3.15673
Cetrorelix,1431.04,1.33,17,18,6,38,,495.67,384.159,-5.31,148.09,11.5903
Bacitracin,1422.69,-2.89,17,20,4,31,,530.87,363.139,-4.76,147.148,3.81389
Abarelix,1416.09,2.84,13,16,6,38,,424.98,373.91,-5.58,149.311,11.5023
Bleomycin,1415.55,-0.52,20,28,6,36,,627.07,344.159,-4.71,142.031,11.9811
